STATE,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,DAY,MONTH,HOUR,MINUTE,HARM_EV,MAN_COLL,UNITTYPE,HIT_RUN,REG_STAT,OWNER,MAKE,MODEL,MAK_MOD,BODY_TYP,MOD_YEAR,VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,TOW_VEH,VINTYPE,VINMAKE,VINA_MOD,VIN_BT,VINMODYR,VIN_LNGT,VIN_WGT,WGTCD_TR,WHLBS_LG,WHLBS_SH,SER_TR,FUELCODE,MCYCL_DS,CARBUR,CYLINDER,DISPLACE,MCYCL_CY,MCYCL_WT,TIRE_SZE,TON_RAT,TRK_WT,TRKWTVAR,VIN_REST,WHLDRWHL,J_KNIFE,MCARR_I1,MCARR_I2,MCARR_ID,GVWR,V_CONFIG,CARGO_BT,HAZ_INV,HAZ_PLAC,HAZ_ID,HAZ_CNO,HAZ_REL,BUS_USE,SPEC_USE,EMER_USE,TRAV_SP,UNDERIDE,ROLLOVER,ROLINLOC,IMPACT1,DEFORMED,TOWED,M_HARM,VEH_SC1,VEH_SC2,FIRE_EXP,DR_PRES,L_STATE,DR_ZIP,L_STATUS,L_TYPE,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,DR_HGT,DR_WGT,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,FIRST_MO,FIRST_YR,LAST_MO,LAST_YR,SPEEDREL,DR_SF1,DR_SF2,DR_SF3,DR_SF4,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VPAVETYP,VSURCOND,VTRAFCON,VTCONT_F,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,ACC_TYPE,DEATHS,DR_DRINK
1.0,10001.0,1.0,1.0,2.0,1.0,1.0,20.0,33.0,1.0,0.0,1.0,0.0,28.0,2.0,49.0,472.0,49472.0,30.0,2008.0,5TEJU62N58Z4,5,T,E,J,U,6,2,N,5,8,Z,4,0.0,T,TOYT,DCP,CW,8.0,17.0,nan,1.0,0.0,1278.0,TAC,G,nan,,6,244,,,,B,3855,00,U,42,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1.0,3.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,28.0,39401.0,6.0,1.0,0.0,0.0,3.0,0.0,72.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,2.0,2.0,65.0,3.0,5.0,2.0,1.0,0.0,0.0,14.0,13.0,6.0,1.0,4.0,6.0,1.0,1.0
1.0,10002.0,1.0,1.0,1.0,1.0,1.0,13.0,15.0,14.0,0.0,1.0,0.0,0.0,0.0,98.0,998.0,98998.0,97.0,2006.0,000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,nan,nan,nan,nan,nan,nan,,,nan,,,,,,,,,,,,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,12.0,6.0,2.0,14.0,0.0,0.0,0.0,1.0,98.0,39759.0,0.0,0.0,0.0,0.0,1.0,0.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,25.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,15.0,1.0,1.0,4.0,11.0,1.0,0.0
1.0,10003.0,1.0,1.0,6.0,2.0,1.0,1.0,35.0,35.0,0.0,1.0,0.0,39.0,1.0,2.0,404.0,2404.0,14.0,2004.0,1J4GW48SX4C3,1,J,4,G,W,4,8,S,X,4,C,3,0.0,T,JEEP,LCF,4W,4.0,17.0,nan,1.0,0.0,1059.0,GCK,G,nan,,6,244,,,,,3888,02,E,44,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,1.0,5.0,12.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,39.0,44120.0,6.0,1.0,0.0,0.0,3.0,1.0,66.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,55.0,1.0,6.0,2.0,1.0,0.0,0.0,1.0,87.0,7.0,1.0,4.0,1.0,1.0,0.0
1.0,10004.0,1.0,2.0,1.0,5.0,1.0,15.0,12.0,12.0,1.0,1.0,0.0,1.0,2.0,2.0,404.0,2404.0,14.0,1999.0,1J4GW68S2XC7,1,J,4,G,W,6,8,S,2,X,C,7,0.0,T,JEEP,LMT,4W,99.0,17.0,nan,1.0,0.0,1059.0,GCK,G,nan,,6,242,,,,,3809,00,E,44,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,1.0,3.0,12.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,36804.0,6.0,1.0,0.0,0.0,3.0,0.0,65.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,2.0,4.0,70.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,51.0,1.0,1.0,1.0,24.0,1.0,0.0
1.0,10004.0,2.0,2.0,4.0,5.0,1.0,15.0,12.0,12.0,1.0,1.0,0.0,1.0,2.0,2.0,405.0,2405.0,14.0,2004.0,1J4GK48K04W1,1,J,4,G,K,4,8,K,0,4,W,1,0.0,T,JEEP,SPR,4W,4.0,17.0,nan,1.0,0.0,1043.0,LIB,G,nan,,6,226,,,,,3462,01,E,42,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,6.0,2.0,1.0,12.0,0.0,0.0,0.0,1.0,1.0,36863.0,6.0,1.0,0.0,0.0,3.0,0.0,65.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,70.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,53.0,1.0,1.0,1.0,25.0,0.0,0.0
1.0,10005.0,1.0,1.0,1.0,6.0,1.0,6.0,0.0,42.0,0.0,1.0,0.0,1.0,1.0,12.0,471.0,12471.0,30.0,1995.0,1FTCR10A4SUC,1,F,T,C,R,1,0,A,4,S,U,C,0.0,T,FORD,RNG,PK,95.0,17.0,nan,1.0,1140.0,1080.0,RNG,G,nan,,4,140,,,,B,00000,00,M,42,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,1.0,6.0,2.0,42.0,0.0,0.0,0.0,1.0,1.0,35633.0,1.0,1.0,1.0,0.0,2.0,0.0,66.0,240.0,0.0,1.0,0.0,0.0,0.0,12.0,2011.0,12.0,2011.0,1.0,89.0,0.0,0.0,0.0,1.0,2.0,45.0,3.0,1.0,2.0,1.0,0.0,0.0,14.0,6.0,1.0,4.0,4.0,7.0,1.0,0.0
1.0,10006.0,1.0,2.0,1.0,8.0,1.0,18.0,41.0,8.0,0.0,1.0,0.0,1.0,1.0,54.0,32.0,54032.0,4.0,1989.0,JH4KA4640KC0,J,H,4,K,A,4,6,4,0,K,C,0,0.0,P,ACUR,LEG,4D,89.0,17.0,3146.0,nan,0.0,1087.0,,G,nan,F,6,165,,,15R205,,,,,,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,12.0,2.0,3.0,8.0,0.0,0.0,0.0,1.0,1.0,36104.0,1.0,1.0,0.0,0.0,2.0,1.0,66.0,125.0,0.0,6.0,0.0,0.0,0.0,12.0,2009.0,2.0,2010.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,35.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,80.0,99.0,1.0,1.0,13.0,0.0,0.0
1.0,10006.0,2.0,2.0,1.0,8.0,1.0,18.0,41.0,8.0,0.0,1.0,0.0,1.0,2.0,13.0,421.0,13421.0,15.0,2003.0,5LMFU27R93LJ,5,L,M,F,U,2,7,R,9,3,L,J,0.0,P,LINC,NAV,UT,3.0,17.0,5822.0,nan,0.0,1190.0,,G,nan,F,8,330,,,18R255,,,,,,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,14.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,1.0,36108.0,6.0,1.0,0.0,0.0,3.0,0.0,70.0,155.0,1.0,0.0,0.0,0.0,0.0,8.0,2009.0,8.0,2009.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,35.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,80.0,99.0,1.0,1.0,98.0,0.0,0.0
1.0,10007.0,1.0,1.0,1.0,8.0,1.0,3.0,0.0,34.0,0.0,1.0,0.0,1.0,2.0,49.0,40.0,49040.0,4.0,2008.0,4T1BK46K08U0,4,T,1,B,K,4,6,K,0,8,U,0,0.0,P,TOYT,LXS,4D,8.0,17.0,3461.0,nan,0.0,1093.0,,G,nan,F,6,214,,,16R215,,,,,,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,1.0,5.0,12.0,6.0,2.0,42.0,0.0,0.0,0.0,1.0,1.0,36701.0,6.0,1.0,0.0,0.0,3.0,0.0,69.0,130.0,0.0,0.0,0.0,0.0,1.0,2.0,2011.0,2.0,2011.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,45.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,9.0,1.0,1.0,4.0,1.0,1.0,1.0
1.0,10008.0,1.0,1.0,1.0,4.0,1.0,1.0,50.0,35.0,0.0,1.0,0.0,1.0,1.0,20.0,471.0,20471.0,30.0,1994.0,1GCCS1441R82,1,G,C,C,S,1,4,4,1,R,8,2,0.0,T,CHEV,S14,PK,94.0,17.0,nan,1.0,1179.0,1083.0,S,G,nan,,4,133,,,,B,2905,01,,42,0.0,0.0,000000000,00000000000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,12.0,6.0,2.0,35.0,0.0,0.0,0.0,1.0,1.0,36853.0,6.0,1.0,0.0,0.0,3.0,1.0,65.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,55.0,1.0,6.0,2.0,1.0,0.0,0.0,1.0,12.0,1.0,1.0,4.0,6.0,1.0,1.0
