Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200501BS00001,1,1,3,1,7,2,1,1,0,0,-1,0,1
200501BS00002,1,1,2,1,7,3,0,0,0,4,-1,11,1
200501BS00003,2,1,1,1,9,3,0,0,0,0,-1,9,1
200501BS00004,1,1,3,1,6,3,5,2,0,0,-1,0,1
200501BS00005,1,1,1,1,8,3,0,0,0,0,-1,3,-1
200501BS00006,2,1,1,2,6,3,0,0,0,0,-1,3,1
200501BS00007,1,1,1,1,6,3,0,0,0,0,-1,3,-1
200501BS00009,1,1,3,2,3,3,6,9,0,0,-1,0,1
200501BS00009,1,2,3,2,3,3,6,9,0,0,-1,0,1
200501BS00010,1,1,1,1,6,3,0,0,0,0,-1,9,1
200501BS00010,2,2,1,2,8,3,0,0,0,0,-1,9,1
200501BS00011,1,1,2,2,6,3,0,0,0,4,-1,11,1
200501BS00011,1,2,2,2,2,3,0,0,0,4,-1,11,1
200501BS00011,1,3,2,2,7,3,0,0,0,4,-1,11,1
200501BS00011,1,4,2,2,7,3,0,0,0,4,-1,11,1
200501BS00011,1,5,2,2,6,3,0,0,0,4,-1,11,-1
200501BS00012,1,1,3,2,5,3,1,4,0,0,-1,0,1
200501BS00014,2,1,1,2,4,3,0,0,0,0,-1,3,-1
200501BS00015,1,1,3,2,10,3,1,1,0,0,-1,0,-1
200501BS00016,1,1,1,1,6,3,0,0,0,0,-1,9,1
200501BS00017,1,1,1,1,7,3,0,0,0,0,-1,5,1
200501BS00017,1,2,3,2,6,3,5,3,0,0,-1,0,-1
200501BS00018,1,1,3,2,9,3,1,1,0,0,-1,0,1
200501BS00019,1,1,1,1,8,2,0,0,0,0,-1,5,1
200501BS00020,2,1,1,1,6,3,0,0,0,0,-1,3,1
200501BS00021,1,1,1,1,6,3,0,0,0,0,-1,5,1
200501BS00022,1,1,3,1,-1,2,5,1,0,0,-1,0,-1
200501BS00023,1,1,3,1,8,3,5,3,0,0,-1,0,-1
200501BS00024,2,1,1,2,5,3,0,0,0,0,-1,1,1
200501BS00025,2,1,1,1,9,3,0,0,0,0,-1,5,1
200501BS00028,1,1,1,1,7,3,0,0,0,0,-1,3,1
200501BS00029,1,1,1,1,8,3,0,0,0,0,-1,9,1
200501BS00031,1,1,3,1,10,3,1,3,0,0,-1,0,1
200501BS00032,1,1,1,1,8,3,0,0,0,0,-1,1,-1
200501BS00033,1,1,1,1,6,3,0,0,0,0,-1,9,1
200501BS00033,1,2,2,1,-1,3,0,0,1,0,-1,9,-1
200501BS70001,2,1,1,1,7,3,0,0,0,0,-1,9,1
200501BS70002,2,1,1,2,6,3,0,0,0,0,-1,5,1
200501BS70003,1,1,1,1,5,3,0,0,0,0,-1,3,1
200501BS70003,2,2,1,1,6,2,0,0,0,0,-1,5,1
200501BS70004,1,1,1,1,6,3,0,0,0,0,-1,1,1
200501BS70005,1,1,1,1,7,3,0,0,0,0,-1,4,1
200501BS70006,1,1,1,2,5,3,0,0,0,0,-1,3,1
200501BS70006,1,2,2,2,5,3,0,0,0,0,-1,3,1
200501BS70007,1,1,2,1,5,3,0,0,1,0,-1,9,1
200501BS70008,1,1,1,1,6,3,0,0,0,0,-1,9,1
200501BS70008,1,2,2,1,6,3,0,0,1,0,-1,9,1
200501BS70009,2,1,1,1,7,3,0,0,0,0,-1,1,1
200501BS70010,1,1,1,1,8,3,0,0,0,0,-1,1,1
200501BS70011,1,1,1,1,7,3,0,0,0,0,-1,9,1
200501BS70012,1,1,1,1,6,3,0,0,0,0,-1,3,-1
200501BS70013,1,1,3,1,6,3,4,1,0,0,-1,0,1
200501BS70014,1,1,1,1,7,3,0,0,0,0,-1,5,1
200501BS70016,1,1,3,1,7,3,4,3,0,0,-1,0,1
200501BS70017,1,1,1,1,7,3,0,0,0,0,-1,8,1
200501BS70018,1,1,1,1,6,3,0,0,0,0,-1,5,1
200501BS70019,1,1,1,2,6,3,0,0,0,0,-1,9,1
200501BS70020,1,1,1,2,9,3,0,0,0,0,-1,1,-1
200501BS70021,1,1,2,2,10,3,0,0,0,2,-1,11,1
200501BS70023,1,1,1,1,4,3,0,0,0,0,-1,9,1
200501BS70023,2,2,1,1,5,3,0,0,0,0,-1,9,1
200501BS70025,1,1,2,2,8,3,0,0,1,0,-1,9,3
200501BS70027,1,1,1,1,-1,3,0,0,0,0,-1,1,1
200501BS70028,1,1,2,2,11,3,0,0,0,1,-1,11,-1
200501BS70029,1,1,3,1,-1,2,4,1,0,0,-1,0,-1
200501BS70030,2,1,1,2,7,3,0,0,0,0,-1,1,1
200501BS70031,1,1,3,1,7,3,4,1,0,0,-1,0,-1
200501BS70032,1,1,3,1,7,3,5,1,0,0,-1,0,1
200501BS70033,1,1,3,2,4,3,10,9,0,0,-1,0,1
200501BS70034,1,1,1,1,3,3,0,0,0,0,-1,1,-1
200501BS70036,1,1,1,1,7,3,0,0,0,0,-1,9,1
200501BS70037,1,1,3,2,2,3,5,3,0,0,-1,0,1
200501BS70038,1,1,1,1,7,3,0,0,0,0,-1,5,-1
200501BS70039,1,1,1,1,5,3,0,0,0,0,-1,9,1
200501BS70039,2,2,1,1,-1,3,0,0,0,0,-1,9,1
200501BS70040,2,1,1,2,9,3,0,0,0,0,-1,1,1
200501BS70041,1,1,1,1,4,3,0,0,0,0,-1,3,1
200501BS70041,1,2,3,2,6,3,4,3,0,0,-1,0,1
200501BS70042,1,1,1,1,6,3,0,0,0,0,-1,9,1
200501BS70042,2,2,1,1,6,3,0,0,0,0,-1,9,1
200501BS70043,2,1,2,2,4,3,0,0,2,0,-1,9,-1
200501BS70044,2,1,1,1,6,3,0,0,0,0,-1,3,1
200501BS70045,1,1,3,1,9,3,5,1,0,0,-1,0,-1
200501BS70046,1,1,3,2,7,3,4,3,0,0,-1,0,1
200501BS70047,1,1,1,1,7,3,0,0,0,0,-1,3,-1
200501BS70048,1,1,1,2,7,3,0,0,0,0,-1,3,1
200501BS70049,1,1,3,2,6,3,4,3,0,0,-1,0,1
200501BS70050,3,1,1,1,6,3,0,0,0,0,-1,1,1
200501BS70051,1,1,3,1,5,3,5,3,0,0,-1,0,1
200501BS70052,1,1,3,2,9,3,5,1,0,0,-1,0,1
200501BS70053,1,1,3,1,10,3,1,1,0,0,-1,0,1
200501BS70054,2,1,1,1,6,3,0,0,0,0,-1,1,1
200501BS70055,1,1,3,1,5,3,7,8,0,0,-1,0,-1
200501BS70056,1,1,2,2,6,3,0,0,0,3,-1,11,-1
200501BS70058,2,1,1,1,8,3,0,0,0,0,-1,1,-1
200501BS70060,1,1,1,1,7,3,0,0,0,0,-1,9,1
200501BS70061,2,1,1,1,6,3,0,0,0,0,-1,3,1
200501BS70062,2,1,1,1,5,3,0,0,0,0,-1,5,1
